date,sales
1/1/2013,29.654999
1/2/2013,7115.388
1/3/2013,4760.805009
1/4/2013,4525.934004
1/5/2013,5781.60501
1/6/2013,6114.88201
1/7/2013,3823.622
1/8/2013,3484.745996
1/9/2013,3689.604025
1/10/2013,2878.641998
1/11/2013,3661.803003
1/12/2013,4587.602998
1/13/2013,5212.57901
1/14/2013,3309.226
1/15/2013,3185.779996
1/16/2013,3725.715997
1/17/2013,3006.747999
1/18/2013,3418.120991
1/19/2013,4806.186009
1/20/2013,5205.459
1/21/2013,3310.514
1/22/2013,2985.135
1/23/2013,3434.374011
1/24/2013,2347.526002
1/25/2013,2918.392003
1/26/2013,4214.642008
1/27/2013,4880.221001
1/28/2013,2988.31299
1/29/2013,2714.615002
1/30/2013,3217.917
1/31/2013,2721.381996
2/1/2013,3712.121998
2/2/2013,5338.998001
2/3/2013,5263.059
2/4/2013,3379.371989
2/5/2013,3154.338004
2/6/2013,3577.606996
2/7/2013,2997.557004
2/8/2013,3319.627004
2/9/2013,3833.387008
2/10/2013,2594.465997
2/11/2013,2789.297
2/12/2013,3581.272998
2/13/2013,3485.053988
2/14/2013,2679.537998
2/15/2013,3286.091002
2/16/2013,5151.261003
2/17/2013,4375.72799
2/18/2013,3716.451001
2/19/2013,3008.794
2/20/2013,3458.153995
2/21/2013,2659.369002
2/22/2013,2745.509001
2/23/2013,4076.964996
2/24/2013,4911.931004
2/25/2013,2927.986022
2/26/2013,2708.784002
2/27/2013,3141.981
2/28/2013,2831.503001
3/1/2013,3855.361003
3/2/2013,5170.328022
3/3/2013,6147.89397
3/4/2013,3799.938001
3/5/2013,3188.837001
3/6/2013,3530.536996
3/7/2013,2847.912999
3/8/2013,3067.045001
3/9/2013,4693.131
3/10/2013,4948.192
3/11/2013,3256.640001
3/12/2013,2982.358
3/13/2013,3221.52
3/14/2013,2619.853001
3/15/2013,3152.985997
3/16/2013,7682.30299
3/17/2013,6624.252
3/18/2013,3848.665988
3/19/2013,3421.257995
3/20/2013,4067.915001
3/21/2013,3376.029999
3/22/2013,4377.731996
3/23/2013,7044.246
3/24/2013,5792.776
3/25/2013,3785.628008
3/26/2013,3236.651997
3/27/2013,3969.45499
3/28/2013,4238.794005
3/29/2013,5139.446002
3/30/2013,6789.321
3/31/2013,5675.35099
4/1/2013,4674.215001
4/2/2013,4037.354003
4/3/2013,4531.658003
4/4/2013,3854.699
4/5/2013,4672.634
4/6/2013,8094.94
4/7/2013,6521.829
4/8/2013,4119.209999
4/9/2013,3538.401
4/10/2013,4002.398999
4/11/2013,3673.195016
4/12/2013,4909.360999
4/13/2013,7514.91003
4/14/2013,6313.942998
4/15/2013,4127.436
4/16/2013,4023.893
4/17/2013,4371.600001
4/18/2013,3580.220996
4/19/2013,4799.615004
4/20/2013,7306.080998
4/21/2013,6187.155011
4/22/2013,4074.556
4/23/2013,3675.571
4/24/2013,4067.76
4/25/2013,3483.254003
4/26/2013,4561.394
4/27/2013,7126.746
4/28/2013,6232.167
4/29/2013,3763.110991
4/30/2013,3852.739
5/1/2013,6857.083
5/2/2013,4266.350001
5/3/2013,5362.587003
5/4/2013,7513.481998
5/5/2013,6822.148
5/6/2013,4183.568
5/7/2013,3932.899003
5/8/2013,4467.02697
5/9/2013,4059.653001
5/10/2013,6107.34
5/11/2013,8587.739
5/12/2013,5304.087996
5/13/2013,3761.846001
5/14/2013,3436.620998
5/15/2013,4072.351999
5/16/2013,4000.963998
5/17/2013,4941.645
5/18/2013,7204.86402
5/19/2013,6181.670003
5/20/2013,3514.963002
5/21/2013,2981.805
5/22/2013,3562.812998
5/23/2013,3894.777
5/24/2013,5699.197003
5/25/2013,5996.139998
5/26/2013,4908.19
5/27/2013,3643.624
5/28/2013,3337.621002
5/29/2013,3771.227999
5/30/2013,3711.254
5/31/2013,4684.31197
6/1/2013,7925.239
6/2/2013,7403.122999
6/3/2013,4334.420999
6/4/2013,3873.474
6/5/2013,4885.84102
6/6/2013,3929.608999
6/7/2013,5988.254
6/8/2013,7372.051
6/9/2013,7093.075002
6/10/2013,4356.946
6/11/2013,4095.642008
6/12/2013,5242.111999
6/13/2013,4781.606996
6/14/2013,6690.743985
6/15/2013,9954.490996
6/16/2013,7556.48699
6/17/2013,4618.527002
6/18/2013,4313.54202
6/19/2013,4633.289002
6/20/2013,4180.835999
6/21/2013,5672.571999
6/22/2013,7810.644
6/23/2013,7239.975
6/24/2013,4001.493021
6/25/2013,3825.793999
6/26/2013,4042.092002
6/27/2013,3830.708011
6/28/2013,5581.120977
6/29/2013,8132.82
6/30/2013,6948.12
7/1/2013,5348.849996
7/2/2013,5020.898
7/3/2013,5140.475003
7/4/2013,4389.859
7/5/2013,5818.129009
7/6/2013,7905.72698
7/7/2013,7167.559
7/8/2013,4429.18
7/9/2013,4126.617999
7/10/2013,4284.139
7/11/2013,3739.224999
7/12/2013,5127.779006
7/13/2013,7591.875
7/14/2013,6439.838
7/15/2013,4307.907004
7/16/2013,4462.858
7/17/2013,4767.135
7/18/2013,4276.461981
7/19/2013,5695.987004
7/20/2013,7793.555
7/21/2013,6297.429998
7/22/2013,4282.649
7/23/2013,4233.863001
7/24/2013,4964.054
7/25/2013,4954.925
7/26/2013,5544.072024
7/27/2013,7707.935
7/28/2013,5988.924
7/29/2013,3783.086
7/30/2013,3874.508996
7/31/2013,4372.926999
8/1/2013,4894.530996
8/2/2013,5758.894999
8/3/2013,7867.467
8/4/2013,6602.609
8/5/2013,4698.000999
8/6/2013,4149.698001
8/7/2013,4511.061
8/8/2013,4029.22
8/9/2013,5379.114
8/10/2013,6982.167996
8/11/2013,5676.143
8/12/2013,4189.55001
8/13/2013,3876.781
8/14/2013,4357.391001
8/15/2013,3752.725002
8/16/2013,6008.304004
8/17/2013,7349.457
8/18/2013,6374.009
8/19/2013,4491.881
8/20/2013,4157.598999
8/21/2013,4421.322999
8/22/2013,3765.268001
8/23/2013,5207.016004
8/24/2013,7366.073
8/25/2013,6210.619999
8/26/2013,4232.27
8/27/2013,4050.455999
8/28/2013,4497.991004
8/29/2013,4111.512
8/30/2013,5397.862
8/31/2013,8733.41601
9/1/2013,8231.857
9/2/2013,5343.773004
9/3/2013,4848.061996
9/4/2013,4940.563997
9/5/2013,4098.738999
9/6/2013,5313.878
9/7/2013,8230.679
9/8/2013,7185.618
9/9/2013,4030.01099
9/10/2013,4001.804001
9/11/2013,4186.448
9/12/2013,3646.537
9/13/2013,5148.193991
9/14/2013,7840.207
9/15/2013,7169.113999
9/16/2013,4415.709999
9/17/2013,3888.782
9/18/2013,4266.80798
9/19/2013,3811.829
9/20/2013,5253.904
9/21/2013,7781.137008
9/22/2013,7108.112
9/23/2013,4347.251001
9/24/2013,3744.81902
9/25/2013,4217.389
9/26/2013,3661.034
9/27/2013,5280.213
9/28/2013,7840.991996
9/29/2013,6909.25
9/30/2013,4399.327001
10/1/2013,5219.82599
10/2/2013,5362.442999
10/3/2013,4316.338979
10/4/2013,5850.118
10/5/2013,8830.185
10/6/2013,7513.523
10/7/2013,4552.323
10/8/2013,4008.342996
10/9/2013,4282.038
10/10/2013,4567.429001
10/11/2013,7584.034
10/12/2013,6821.226001
10/13/2013,6052.524996
10/14/2013,3790.008998
10/15/2013,3702.528998
10/16/2013,4616.367995
10/17/2013,3937.743999
10/18/2013,5046.657998
10/19/2013,7777.842
10/20/2013,7253.89
10/21/2013,3876.775999
10/22/2013,3317.021
10/23/2013,4195.278997
10/24/2013,3836.318999
10/25/2013,5337.341999
10/26/2013,7662.435004
10/27/2013,6406.51399
10/28/2013,3846.612001
10/29/2013,3860.051999
10/30/2013,4226.754001
10/31/2013,3730.613
11/1/2013,5810.465001
11/2/2013,8405.799001
11/3/2013,7660.631
11/4/2013,4669.37899
11/5/2013,4346.055
11/6/2013,4930.996
11/7/2013,4091.997
11/8/2013,5272.750996
11/9/2013,8022.641
11/10/2013,7261.734
11/11/2013,4316.280993
11/12/2013,3995.015
11/13/2013,4403.138996
11/14/2013,3637.182
11/15/2013,5257.088989
11/16/2013,8469.777
11/17/2013,7291.029004
11/18/2013,4466.215002
11/19/2013,4268.987975
11/20/2013,4821.83697
11/21/2013,4196.717977
11/22/2013,6192.761018
11/23/2013,7932.13501
11/24/2013,7386.286
11/25/2013,4407.408001
11/26/2013,4424.808992
11/27/2013,5667.448999
11/28/2013,4927.736999
11/29/2013,6355.686
11/30/2013,10652.647
12/1/2013,9829.346996
12/2/2013,6194.56901
12/3/2013,5804.540989
12/4/2013,7408.526
12/5/2013,7547.576999
12/6/2013,9664.099006
12/7/2013,11317.72399
12/8/2013,10526.431
12/9/2013,10468.63505
12/10/2013,16682.82804
12/11/2013,12255.0119
12/12/2013,11800.19001
12/13/2013,19158.48706
12/14/2013,23228.56703
12/15/2013,22091.52185
12/16/2013,21578.14692
12/17/2013,27960.48986
12/18/2013,42812.47508
12/19/2013,44418.43622
12/20/2013,53184.60449
12/21/2013,77376.67683
12/22/2013,70338.30299
12/23/2013,100656.6595
12/24/2013,47258.25969
12/25/2013,0
12/26/2013,21887.53421
12/27/2013,26909.53902
12/28/2013,37431.80793
12/29/2013,31672.86896
12/30/2013,33661.03996
12/31/2013,23025.46496
1/1/2014,247.270004
1/2/2014,8177.463981
1/3/2014,7537.910978
1/4/2014,10826.72498
1/5/2014,9502.818999
1/6/2014,5594.166006
1/7/2014,4953.06
1/8/2014,5783.748024
1/9/2014,5324.124999
1/10/2014,5943.623014
1/11/2014,8696.138
1/12/2014,7603.78201
1/13/2014,4623.576991
1/14/2014,4480.013016
1/15/2014,5242.623
1/16/2014,4972.172005
1/17/2014,5909.717986
1/18/2014,8529.626995
1/19/2014,7181.607991
1/20/2014,4792.655
1/21/2014,4672.774998
1/22/2014,4486.079
1/23/2014,4067.693
1/24/2014,5735.506996
1/25/2014,8326.19003
1/26/2014,7157.121
1/27/2014,4458.498
1/28/2014,4040.7
1/29/2014,4920.983982
1/30/2014,4695.602018
1/31/2014,6664.77302
2/1/2014,10143.224
2/2/2014,8623.396
2/3/2014,5470.832001
2/4/2014,5009.291999
2/5/2014,5417.989996
2/6/2014,4778.802
2/7/2014,6182.315004
2/8/2014,8522.58697
2/9/2014,6808.647998
2/10/2014,4849.998
2/11/2014,4400.983001
2/12/2014,5115.143003
2/13/2014,4692.016
2/14/2014,6668.231
2/15/2014,9132.445
2/16/2014,7511.535
2/17/2014,4613.148
2/18/2014,4493.166999
2/19/2014,4829.337985
2/20/2014,3936.568006
2/21/2014,5336.481
2/22/2014,7818.065001
2/23/2014,5921.472001
2/24/2014,4427.521
2/25/2014,4164.801001
2/26/2014,4835.193988
2/27/2014,4211.923
2/28/2014,6310.821
3/1/2014,9983.55901
3/2/2014,7862.035
3/3/2014,7804.048002
3/4/2014,7884.627
3/5/2014,6080.772996
3/6/2014,5562.44901
3/7/2014,6359.662
3/8/2014,8369.873
3/9/2014,8066.013
3/10/2014,4715.207
3/11/2014,4545.919005
3/12/2014,5354.524996
3/13/2014,4642.431008
3/14/2014,6399.059
3/15/2014,8842.668
3/16/2014,8906.153
3/17/2014,5034.498
3/18/2014,4809.949008
3/19/2014,5393.790008
3/20/2014,4914.078
3/21/2014,6207.87
3/22/2014,8943.46498
3/23/2014,7584.152021
3/24/2014,4611.745994
3/25/2014,4619.677
3/26/2014,5014.47401
3/27/2014,4723.825
3/28/2014,5954.347999
3/29/2014,9303.503
3/30/2014,7831.496
3/31/2014,5356.34099
4/1/2014,5638.725998
4/2/2014,5731.375016
4/3/2014,4740.249
4/4/2014,6190.68001
4/5/2014,9379.85397
4/6/2014,7370.997
4/7/2014,4530.627001
4/8/2014,3907.314
4/9/2014,4753.524998
4/10/2014,4239.94099
4/11/2014,5658.120001
4/12/2014,8056.58201
4/13/2014,6670.498996
4/14/2014,3895.112007
4/15/2014,3880.521
4/16/2014,4646.630998
4/17/2014,5530.006996
4/18/2014,6511.906005
4/19/2014,7741.587998
4/20/2014,5998.125
4/21/2014,4628.43801
4/22/2014,4333.395997
4/23/2014,4979.305004
4/24/2014,4185.140005
4/25/2014,5513.89
4/26/2014,8006.889
4/27/2014,7202.39
4/28/2014,4280.328001
4/29/2014,4070.042002
4/30/2014,5193.831
5/1/2014,6948.401999
5/2/2014,5936.903
5/3/2014,8631.845028
5/4/2014,7858.68799
5/5/2014,4897.463002
5/6/2014,4572.369999
5/7/2014,5625.308993
5/8/2014,5055.616978
5/9/2014,7091.383004
5/10/2014,9677.669002
5/11/2014,7063.550994
5/12/2014,4391.825999
5/13/2014,4218.465001
5/14/2014,4609.042983
5/15/2014,3964.045
5/16/2014,6033.159991
5/17/2014,7955.03701
5/18/2014,7465.549999
5/19/2014,4472.820999
5/20/2014,3889.268999
5/21/2014,4747.042
5/22/2014,3878.676001
5/23/2014,5572.499001
5/24/2014,8434.083978
5/25/2014,6886.210999
5/26/2014,3957.462
5/27/2014,4002.564
5/28/2014,4251.872996
5/29/2014,3990.369009
5/30/2014,5980.927
5/31/2014,8757.843
6/1/2014,8788.465
6/2/2014,5609.257002
6/3/2014,4952.713013
6/4/2014,5314.61801
6/5/2014,4383.42799
6/6/2014,5807.765997
6/7/2014,8331.96402
6/8/2014,7650.195996
6/9/2014,4699.955998
6/10/2014,4447.555986
6/11/2014,5106.09301
6/12/2014,4749.919982
6/13/2014,6826.574992
6/14/2014,10709.86903
6/15/2014,6240.209004
6/16/2014,4738.448
6/17/2014,4263.41
6/18/2014,4983.1
6/19/2014,4172.897002
6/20/2014,6178.701
6/21/2014,8144.379998
6/22/2014,7380.002002
6/23/2014,4192.584999
6/24/2014,3975.882001
6/25/2014,5590.214998
6/26/2014,3782.077002
6/27/2014,5592.384996
6/28/2014,7969.71
6/29/2014,6820.758995
6/30/2014,4534.290989
7/1/2014,6254.544
7/2/2014,6678.205
7/3/2014,5756.50501
7/4/2014,6699.91
7/5/2014,8948.66301
7/6/2014,8270.838996
7/7/2014,5396.317
7/8/2014,4814.793
7/9/2014,5193.537981
7/10/2014,4872.064999
7/11/2014,6232.375
7/12/2014,9017.934
7/13/2014,7476.302002
7/14/2014,5004.378
7/15/2014,4899.911006
7/16/2014,5757.497004
7/17/2014,5087.913
7/18/2014,6348.981996
7/19/2014,8434.932996
7/20/2014,7169.662998
7/21/2014,5033.574
7/22/2014,4791.584005
7/23/2014,5497.708997
7/24/2014,4979.741
7/25/2014,6927.701005
7/26/2014,8111.885
7/27/2014,6627.862
7/28/2014,4827.571
7/29/2014,4654.81
7/30/2014,5243.01801
7/31/2014,4992.427978
